patch_id,bug_id,project,tool,label,lines_added,lines_removed,total_changed,code_lines_added,code_lines_removed,n_hunks,n_files,only_deletes,adds_conditional_guard,literal_in_failing_test_message,has_trigger_test_info,whitespace_normalized
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-21-AVATAR-plausible,Closure-21,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-22-AVATAR-plausible,Closure-22,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,Closure-45,Closure,AVATAR,overfitting,1,4,5,1,4,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-48-AVATAR-plausible,Closure-48,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-66-AVATAR-plausible,Closure-66,Closure,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-13-AVATAR-plausible,Lang-13,Lang,AVATAR,overfitting,1,17,18,0,9,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-20-AVATAR-plausible,Lang-20,Lang,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-22-AVATAR-plausible,Lang-22,Lang,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-27-AVATAR-plausible,Lang-27,Lang,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Lang-39,Lang,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-51-AVATAR-plausible,Lang-51,Lang,AVATAR,overfitting,1,3,4,1,3,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,Lang-58,Lang,AVATAR,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-59-AVATAR-plausible,Lang-59,Lang,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-63-AVATAR-plausible,Lang-63,Lang,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-104-AVATAR-plausible,Math-104,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-2-AVATAR-plausible,Math-2,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-49-AVATAR-plausible,Math-49,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-50-AVATAR-plausible,Math-50,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-57-AVATAR-plausible,Math-57,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-6-AVATAR-plausible,Math-6,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-62-AVATAR-plausible,Math-62,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-78-AVATAR-plausible,Math-78,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math-80,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,1,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-81-AVATAR-plausible,Math-81,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,Math-82,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-84-AVATAR-plausible,Math-84,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-88-AVATAR-plausible,Math-88,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-95-AVATAR-plausible,Math-95,Math,AVATAR,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart-1,Chart,Arja,overfitting,1,3,4,1,3,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-13-Arja-plusible,Chart-13,Chart,Arja,overfitting,1,0,1,1,0,1,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-14-Arja-plusible,Chart-14,Chart,Arja,overfitting,4,5,9,4,5,4,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-15-Arja-plusible,Chart-15,Chart,Arja,overfitting,3,3,6,3,3,3,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-19-Arja-plusible,Chart-19,Chart,Arja,overfitting,10,1,11,10,1,4,2,0,1,0,1,1
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-25-Arja-plusible,Chart-25,Chart,Arja,overfitting,22,20,42,22,20,4,2,0,1,0,1,1
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-3-Arja-plusible,Chart-3,Chart,Arja,overfitting,5,11,16,5,11,2,1,0,1,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-5-Arja-plusible,Chart-5,Chart,Arja,overfitting,1,10,11,1,6,1,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-7-Arja-plusible,Chart-7,Chart,Arja,overfitting,1,0,1,1,0,1,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-1-Arja-plausible,Closure-1,Closure,Arja,overfitting,2,11,13,2,11,2,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-10-Arja-plausible,Closure-10,Closure,Arja,overfitting,2,2,4,2,2,2,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-112-Arja-plausible,Closure-112,Closure,Arja,overfitting,3,43,46,3,36,2,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-114-Arja-plausible,Closure-114,Closure,Arja,overfitting,0,16,16,0,11,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-116-Arja-plausible,Closure-116,Closure,Arja,overfitting,2,18,20,2,10,3,3,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,Closure-117,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-119-Arja-plausible,Closure-119,Closure,Arja,overfitting,1,2,3,1,2,2,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-120-Arja-plausible,Closure-120,Closure,Arja,overfitting,0,3,3,0,3,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-121-Arja-plausible,Closure-121,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-124-Arja-plausible,Closure-124,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-125-Arja-plausible,Closure-125,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-129-Arja-plausible,Closure-129,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-130-Arja-plausible,Closure-130,Closure,Arja,overfitting,0,4,4,0,3,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-133-Arja-plausible,Closure-133,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-21-Arja-plausible,Closure-21,Closure,Arja,overfitting,1,2,3,1,2,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-22-Arja-plausible,Closure-22,Closure,Arja,overfitting,3,9,12,2,7,2,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-33-Arja-plausible,Closure-33,Closure,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-45-Arja-plausible,Closure-45,Closure,Arja,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-46-Arja-plausible,Closure-46,Closure,Arja,overfitting,1,13,14,1,12,4,3,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-55-Arja-plausible,Closure-55,Closure,Arja,overfitting,1,2,3,1,2,2,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-59-Arja-plausible,Closure-59,Closure,Arja,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-67-Arja-plausible,Closure-67,Closure,Arja,overfitting,0,13,13,0,11,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-68-Arja-plausible,Closure-68,Closure,Arja,overfitting,1,2,3,1,2,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-7-Arja-plausible,Closure-7,Closure,Arja,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-75-Arja-plausible,Closure-75,Closure,Arja,overfitting,1,10,11,1,7,3,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-78-Arja-plausible,Closure-78,Closure,Arja,overfitting,1,5,6,1,4,3,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-8-Arja-plausible,Closure-8,Closure,Arja,overfitting,0,36,36,0,31,2,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-16-Arja-plausible,Lang-16,Lang,Arja,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-20-Arja-plausible,Lang-20,Lang,Arja,overfitting,2,2,4,2,2,2,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-7-Arja-plausible,Lang-7,Lang,Arja,overfitting,2,2,4,2,2,3,2,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-2-Arja-plausible,Math-2,Math,Arja,overfitting,0,3,3,0,3,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,Math-28,Math,Arja,overfitting,0,1,1,0,1,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-40-Arja-plausible,Math-40,Math,Arja,overfitting,1,0,1,1,0,1,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-56-Arja-plausible,Math-56,Math,Arja,overfitting,4,0,4,4,0,1,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-74-Arja-plausible,Math-74,Math,Arja,overfitting,2,0,2,2,0,2,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,Math-80,Math,Arja,overfitting,2,7,9,2,7,3,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-81-Arja-plausible,Math-81,Math,Arja,overfitting,0,3,3,0,2,2,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,Math-82,Math,Arja,overfitting,5,2,7,5,2,2,2,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-84-Arja-plausible,Math-84,Math,Arja,overfitting,1,6,7,1,3,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math-85,Math,Arja,overfitting,0,6,6,0,6,1,1,1,0,0,1,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-95-Arja-plausible,Math-95,Math,Arja,overfitting,2,1,3,2,1,2,1,0,0,0,1,1
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-13-Cardumen-plausible,Chart-13,Chart,Cardumen,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-24-Cardumen-plausible,Chart-24,Chart,Cardumen,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-6-Cardumen-plausible,Chart-6,Chart,Cardumen,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-62-Cardumen-plausible,Closure-62,Closure,Cardumen,overfitting,2,2,4,2,2,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-63-Cardumen-plausible,Closure-63,Closure,Cardumen,overfitting,2,2,4,2,2,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-5-Cardumen-plausible,Math-5,Math,Cardumen,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-63-Cardumen-plausible,Math-63,Math,Cardumen,overfitting,8,112,120,4,112,12,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-73-Cardumen-plausible,Math-73,Math,Cardumen,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-85-Cardumen-plausible,Math-85,Math,Cardumen,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-95-Cardumen-plausible,Math-95,Math,Cardumen,overfitting,1,1,2,1,1,1,1,0,0,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart-1,Chart,DynaMoth,overfitting,4,2,6,4,2,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-13-DynaMoth-plausible,Chart-13,Chart,DynaMoth,overfitting,9,7,16,9,7,1,1,0,1,1,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-15-DynaMoth-plausible,Chart-15,Chart,DynaMoth,overfitting,3,1,4,3,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-18-DynaMoth-plausible,Chart-18,Chart,DynaMoth,overfitting,3,1,4,3,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-25-DynaMoth-plausible,Chart-25,Chart,DynaMoth,overfitting,9,7,16,9,7,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-5-DynaMoth-plausible,Chart-5,Chart,DynaMoth,overfitting,1,1,2,1,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Lang__patch1-Lang-51-DynaMoth-plausible,Lang-51,Lang,DynaMoth,overfitting,3,3,6,3,3,1,1,0,1,0,1,1
Patches_ICSE__Doverfitting__DynaMoth__Lang__patch1-Lang-63-DynaMoth-plausible,Lang-63,Lang,DynaMoth,overfitting,3,1,4,3,1,1,1,0,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-105-DynaMoth-plausible,Math-105,Math,DynaMoth,overfitting,3,1,4,3,1,1,1,0,1,0,1,0
