patch_id,true_project,true_bug_number,model,project,bug_number,recalled_label,recognized,error
Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,Lang,24,claude-haiku-4-5,Lang,16,OVERFITTING,False,
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Lang,39,claude-haiku-4-5,Lang,38,CORRECT,False,
Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-39-TBar-plausible,Lang,39,claude-haiku-4-5,Lang,,UNKNOWN,False,
Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,Lang,39,claude-haiku-4-5,Lang,38,OVERFITTING,False,
Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-39-SimFix,Lang,39,claude-haiku-4-5,Lang,1264,CORRECT,False,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-35-ACS,Math,35,claude-haiku-4-5,Math,58,OVERFITTING,False,
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,Math,4,claude-haiku-4-5,Math,309,CORRECT,False,
Patches_ICSE__Doverfitting__Nopol__Math__patch1-Math-4-Nopol-plausible,Math,4,claude-haiku-4-5,Math,,UNKNOWN,False,
Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-4-AVATAR,Math,4,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6S5GmStQfeneH3hD3k1'}"
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Closure,38,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6SpymUADXV6UCYiimnK'}"
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,Math,61,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6T5fmfef7iQmHuQdSh3'}"
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,Math,25,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6TLUc7xCChkwuADYiY4'}"
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,Chart,13,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6TTgyhxignKVt3HvJA3'}"
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,Closure,2,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6ToMeB89xTEkWrTBLGF'}"
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Lang,7,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6URzcfV4AvnbsWzG6qP'}"
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang,57,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6UXTR7Fcsmq2K92Y4LU'}"
Patches_ICSE__Doverfitting__Nopol__Time__patch1-Time-14-Nopol-plausible,Time,14,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6Uch8FdEvJt6EXMJKj5'}"
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang,10,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6UjJ57sXv3Kqb1oeUDJ'}"
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Math,50,claude-haiku-4-5,,,,,"BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011Cf6UzR5iaD6XBGiihRPqa'}"
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,Math,73,claude-haiku-4-5,Math,70,OVERFITTING,False,
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,Chart,20,claude-haiku-4-5,Chart,3,OVERFITTING,False,
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,Closure,45,claude-haiku-4-5,Closure,,UNKNOWN,False,
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart,14,claude-haiku-4-5,Chart,,UNKNOWN,False,
Patches_others__Dcorrect__SOFix__Time__patch1-Time-19-SOFix,Time,19,claude-haiku-4-5,Time,26,CORRECT,False,
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Closure,19,claude-haiku-4-5,Closure,,UNKNOWN,False,
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart,11,claude-haiku-4-5,Chart,6,CORRECT,False,
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Closure,126,claude-haiku-4-5,Closure,,UNKNOWN,False,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math,82,claude-haiku-4-5,Math,41,OVERFITTING,False,
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Lang,60,claude-haiku-4-5,Lang,,UNKNOWN,False,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math,3,claude-haiku-4-5,Math,51,OVERFITTING,False,
