patch_id,bug_id,s_edit_ast,s_edit_ast_actions,s_edit_ast_nodes,s_vuln_changed,s_vuln_new_warning_count,analysis_level,d_cyclomatic,d_stmts,d_branch_points,d_cfg_edges,d_defuse_pairs,s_edit_error,s_vuln_buggy_error,s_vuln_candidate_error
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,Closure-2,0.07650273224043716,14,183,0,0,DATAFLOW,1,1,1,2,0,,,
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Lang-7,0.009962640099626401,8,803,0,0,DATAFLOW,1,-1,0,0,0,,,
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang-57,0.04,1,25,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__Nopol__Time__patch1-Time-14-Nopol-plausible,Time-14,0.3333333333333333,37,111,0,0,DATAFLOW,2,1,2,3,-1,,,
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang-10,0.18823529411764706,32,170,0,0,DATAFLOW,-2,-6,-2,-8,-2,,,
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Math-50,0.1301518438177874,60,461,0,0,DATAFLOW,-1,-17,-2,-18,-13,,,
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,Math-73,0.08653846153846154,18,208,0,0,DATAFLOW,0,7,1,7,4,,,
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,Chart-20,0.016666666666666666,1,60,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,Closure-45,0.0963302752293578,21,218,0,0,DATAFLOW,-1,-4,-1,-5,-3,,,
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart-14,0.08928571428571429,10,112,0.5,1,DATAFLOW,0,1,0,1,1,,,
Patches_others__Dcorrect__SOFix__Time__patch1-Time-19-SOFix,Time-19,0.05625,9,160,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Closure-19,0.025974025974025976,4,154,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart-11,0.03431372549019608,7,204,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Closure-126,0.017543859649122806,7,399,0,0,DATAFLOW,0,-1,0,-1,0,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math-82,0.12781954887218044,17,133,0,0,DATAFLOW,1,5,1,6,4,,,
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Lang-60,0.16326530612244897,8,49,0,0,DATAFLOW,0,0,0,0,0,,,
Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math-3,0.05263157894736842,21,399,0,0,DATAFLOW,0,7,1,7,5,,,
