patch_id,bug_id,has_trigger_test_info,lines_added,lines_removed,total_changed,code_lines_added,code_lines_removed,n_hunks,n_files,only_deletes,adds_conditional_guard,literal_in_failing_test_message
Patches_ICSE__Ddifferent__Nopol__Lang__patch1-Lang-46-Nopol,Lang-46,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,Closure-115,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,Chart-20,1,6,0,6,3,0,1,1,0,0,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure-115,1,7,0,7,4,0,1,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Closure-19,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-6-SimFix,Closure-6,1,9,0,9,6,0,1,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-68-SimFix,Closure-68,1,8,0,8,5,0,1,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Lang-60,1,9,0,9,6,0,1,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-71-SimFix,Math-71,1,11,0,11,8,0,2,1,0,1,0
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix,Math-72,0,8,0,8,5,0,1,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar,Chart-11,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang-10,1,1,7,8,0,7,1,1,1,0,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-33-TBar,Lang-33,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-47-TBar,Lang-47,1,2,1,3,2,1,1,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar,Lang-7,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-11-TBar,Math-11,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-65-TBar,Math-65,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,Math-5,1,1,63,64,1,61,6,1,0,0,0
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Math-53,1,7,4,11,7,4,3,1,0,1,0
Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Closure-126,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali,Lang-10,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Lang-7,1,1,1,2,0,1,1,1,1,0,0
Patches_ICSE__Ddifferent__jKali__Math__patch1-Math-50-jKali,Math-50,1,3,3,6,1,3,1,1,0,1,0
Patches_ICSE__Ddifferent__kPAR__Closure__patch1-Closure-40-kPAR,Closure-40,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,Lang-7,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-28-ACS-plausible,Math-28,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,Math-4,1,2,2,4,2,0,2,2,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,Math-73,1,1,1,2,1,0,1,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-81-ACS-plausible,Math-81,1,1,2,3,1,2,1,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-93-ACS-plausible,Math-93,1,8,1,9,8,1,2,1,0,1,0
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-97-ACS-plausible,Math-97,1,1,2,3,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,Chart-13,1,1,3,4,0,3,1,1,1,0,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart-14,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart-15,1,0,379,379,0,289,1,1,1,0,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-25-AVATAR-plausible,Chart-25,1,0,42,42,0,25,1,1,1,0,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-26-AVATAR-plausible,Chart-26,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-5-AVATAR-plausible,Chart-5,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-7-AVATAR-plausible,Chart-7,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-108-AVATAR-plausible,Closure-108,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-12-AVATAR-plausible,Closure-12,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-126-AVATAR-plausible,Closure-126,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-21-AVATAR-plausible,Closure-21,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-22-AVATAR-plausible,Closure-22,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,Closure-45,1,1,4,5,1,4,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-48-AVATAR-plausible,Closure-48,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-66-AVATAR-plausible,Closure-66,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-13-AVATAR-plausible,Lang-13,1,1,17,18,0,9,1,1,1,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-20-AVATAR-plausible,Lang-20,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-22-AVATAR-plausible,Lang-22,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-27-AVATAR-plausible,Lang-27,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Lang-39,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-51-AVATAR-plausible,Lang-51,1,1,3,4,1,3,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,Lang-58,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-59-AVATAR-plausible,Lang-59,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-63-AVATAR-plausible,Lang-63,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-104-AVATAR-plausible,Math-104,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-2-AVATAR-plausible,Math-2,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-49-AVATAR-plausible,Math-49,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-50-AVATAR-plausible,Math-50,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-57-AVATAR-plausible,Math-57,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-6-AVATAR-plausible,Math-6,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-62-AVATAR-plausible,Math-62,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-78-AVATAR-plausible,Math-78,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math-80,1,1,1,2,1,1,1,1,0,0,1
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-81-AVATAR-plausible,Math-81,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,Math-82,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-84-AVATAR-plausible,Math-84,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-88-AVATAR-plausible,Math-88,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-95-AVATAR-plausible,Math-95,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart-1,1,1,3,4,1,3,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-13-Arja-plusible,Chart-13,1,1,0,1,1,0,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-14-Arja-plusible,Chart-14,1,4,5,9,4,5,4,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-15-Arja-plusible,Chart-15,1,3,3,6,3,3,3,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-19-Arja-plusible,Chart-19,1,10,1,11,10,1,4,2,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-25-Arja-plusible,Chart-25,1,22,20,42,22,20,4,2,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-3-Arja-plusible,Chart-3,1,5,11,16,5,11,2,1,0,1,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-5-Arja-plusible,Chart-5,1,1,10,11,1,6,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-7-Arja-plusible,Chart-7,1,1,0,1,1,0,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-1-Arja-plausible,Closure-1,1,2,11,13,2,11,2,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-10-Arja-plausible,Closure-10,1,2,2,4,2,2,2,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-112-Arja-plausible,Closure-112,1,3,43,46,3,36,2,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-114-Arja-plausible,Closure-114,1,0,16,16,0,11,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-116-Arja-plausible,Closure-116,1,2,18,20,2,10,3,3,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,Closure-117,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-119-Arja-plausible,Closure-119,1,1,2,3,1,2,2,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-120-Arja-plausible,Closure-120,1,0,3,3,0,3,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-121-Arja-plausible,Closure-121,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-124-Arja-plausible,Closure-124,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-125-Arja-plausible,Closure-125,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-129-Arja-plausible,Closure-129,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-130-Arja-plausible,Closure-130,1,0,4,4,0,3,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-133-Arja-plausible,Closure-133,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-21-Arja-plausible,Closure-21,1,1,2,3,1,2,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-22-Arja-plausible,Closure-22,1,3,9,12,2,7,2,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-33-Arja-plausible,Closure-33,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-45-Arja-plausible,Closure-45,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-46-Arja-plausible,Closure-46,1,1,13,14,1,12,4,3,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-55-Arja-plausible,Closure-55,1,1,2,3,1,2,2,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-59-Arja-plausible,Closure-59,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-67-Arja-plausible,Closure-67,1,0,13,13,0,11,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-68-Arja-plausible,Closure-68,1,1,2,3,1,2,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-7-Arja-plausible,Closure-7,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-75-Arja-plausible,Closure-75,1,1,10,11,1,7,3,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-78-Arja-plausible,Closure-78,1,1,5,6,1,4,3,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-8-Arja-plausible,Closure-8,1,0,36,36,0,31,2,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-16-Arja-plausible,Lang-16,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-20-Arja-plausible,Lang-20,1,2,2,4,2,2,2,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-7-Arja-plausible,Lang-7,1,2,2,4,2,2,3,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-2-Arja-plausible,Math-2,1,0,3,3,0,3,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,Math-28,1,0,1,1,0,1,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-40-Arja-plausible,Math-40,1,1,0,1,1,0,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-56-Arja-plausible,Math-56,1,4,0,4,4,0,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-74-Arja-plausible,Math-74,1,2,0,2,2,0,2,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,Math-80,1,2,7,9,2,7,3,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-81-Arja-plausible,Math-81,1,0,3,3,0,2,2,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,Math-82,1,5,2,7,5,2,2,2,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-84-Arja-plausible,Math-84,1,1,6,7,1,3,1,1,0,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math-85,1,0,6,6,0,6,1,1,1,0,0
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-95-Arja-plausible,Math-95,1,2,1,3,2,1,2,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-13-Cardumen-plausible,Chart-13,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-24-Cardumen-plausible,Chart-24,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-6-Cardumen-plausible,Chart-6,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-62-Cardumen-plausible,Closure-62,1,2,2,4,2,2,1,1,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-63-Cardumen-plausible,Closure-63,1,2,2,4,2,2,1,1,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-5-Cardumen-plausible,Math-5,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-63-Cardumen-plausible,Math-63,1,8,112,120,4,112,12,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-73-Cardumen-plausible,Math-73,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-85-Cardumen-plausible,Math-85,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-95-Cardumen-plausible,Math-95,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart-1,1,4,2,6,4,2,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-13-DynaMoth-plausible,Chart-13,1,9,7,16,9,7,1,1,0,1,1
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-15-DynaMoth-plausible,Chart-15,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-18-DynaMoth-plausible,Chart-18,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-25-DynaMoth-plausible,Chart-25,1,9,7,16,9,7,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-5-DynaMoth-plausible,Chart-5,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Lang__patch1-Lang-51-DynaMoth-plausible,Lang-51,1,3,3,6,3,3,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Lang__patch1-Lang-63-DynaMoth-plausible,Lang-63,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-105-DynaMoth-plausible,Math-105,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-20-DynaMoth-plausible,Math-20,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-32-DynaMoth-plausible,Math-32,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-41-DynaMoth-plausible,Math-41,1,10,8,18,10,8,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-49-DynaMoth-plausible,Math-49,1,6,2,8,6,2,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-58-DynaMoth-plausible,Math-58,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-71-DynaMoth-plausible,Math-71,1,6,4,10,6,4,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-8-DynaMoth-plausible,Math-8,1,4,2,6,4,2,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-80-DynaMoth-plausible,Math-80,1,8,6,14,8,6,1,1,0,1,1
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-81-DynaMoth-plausible,Math-81,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-82-DynaMoth-plausible,Math-82,1,3,1,4,3,1,1,1,0,1,0
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,Math-85,1,8,6,14,8,6,1,1,0,1,1
Patches_ICSE__Doverfitting__DynaMoth__Time__patch1-Time-11-DynaMoth-plausible,Time-11,1,7,5,12,7,5,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-13-FixMiner-plausible,Chart-13,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-14-FixMiner-plausible,Chart-14,1,4,1,5,4,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-15-FixMiner-plausible,Chart-15,1,4,1,5,4,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-17-FixMiner-plausible,Chart-17,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible,Chart-25,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-26-FixMiner-plausible,Chart-26,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-3-FixMiner-plausible,Chart-3,1,1,1,2,1,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-7-FixMiner-plausible,Chart-7,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__FixMiner__Closure__patch1-Closure-129-FixMiner-plausible,Closure-129,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__FixMiner__Closure__patch1-Closure-19-FixMiner-plausible,Closure-19,1,1,2,3,0,2,1,1,1,0,0
Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-57-FixMiner-plausible,Lang-57,1,4,1,5,4,1,1,1,0,1,0
Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-63-FixMiner-plausible,Lang-63,1,1,1,2,1,1,1,1,0,0,0
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-20-FixMiner-plausible,Math-20,1,1,1,2,0,1,1,1,1,0,0
